"id","country_id:id","code","name","acronym"
"res_country_state_cu_pri","base.cu","21","PINAR DEL RÍO","PRI"
"res_country_state_cu_art","base.cu","22","ARTEMISA","ART"
"res_country_state_cu_hab","base.cu","23","LA HABANA","HAB"
"res_country_state_cu_may","base.cu","24","MAYABEQUE","MAY"
"res_country_state_cu_mtz","base.cu","25","MATANZAS","MTZ"
"res_country_state_cu_vcl","base.cu","26","VILLA CLARA","VCL"
"res_country_state_cu_cfg","base.cu","27","CIENFUEGOS","CFG"
"res_country_state_cu_ssp","base.cu","28","SANCTI SPÍRITUS","SSP"
"res_country_state_cu_cav","base.cu","29","CIEGO DE ÁVILA","CAV"
"res_country_state_cu_cmg","base.cu","30","CAMAGÜEY","CMG"
"res_country_state_cu_ltu","base.cu","31","LAS TUNAS","LTU"
"res_country_state_cu_hlg","base.cu","32","HOLGUÍN","HLG"
"res_country_state_cu_grm","base.cu","33","GRANMA","GRM"
"res_country_state_cu_scu","base.cu","34","SANTIAGO DE CUBA","SCU"
"res_country_state_cu_gtn","base.cu","35","GUANTÁNAMO","GTN"
"res_country_state_cu_ijv","base.cu","4001","ISLA DE LA JUVENTUD","IJV"
